transaction_id,amount,oldbalanceOrg,newbalanceOrig,is_fraud
210,9996,10029,33,0
211,669,3282,2613,0
212,2821,9744,6923,0
213,7108,18861,11753,0
214,6556,10919,4363,0
215,9571,14335,4764,0
216,1996,1591,-405,0
217,8348,7277,-1071,0
218,2921,3260,339,0
219,1744,12139,10395,0
220,1853,1347,-506,0
221,8690,5443,-3247,0
222,2986,12088,9102,0
223,1969,9774,7805,0
224,5769,7869,2100,0
225,6704,3845,-2859,0
226,2395,13386,10991,0
227,4746,2265,-2481,0
228,1812,13445,11633,0
229,8165,13938,5773,0
230,8130,12159,4029,0
231,6626,3274,-3352,0
232,5544,19854,14310,0
233,4071,11482,7411,0
234,272,19961,19689,0
235,6297,2068,-4229,0
236,8825,15706,6881,0
237,9218,6974,-2244,0
238,2059,11928,9869,0
239,5433,2950,-2483,0
240,4558,11411,6853,0
241,3118,14388,11270,0
242,7168,18771,11603,0
243,7410,5274,-2136,0
244,3180,3285,105,0
245,9884,8045,-1839,0
246,2265,2618,353,0
247,1164,11979,10815,0
248,4509,9562,5053,0
249,6305,13026,6721,0
250,6207,8843,2636,0
251,9898,10895,997,0
252,1658,12966,11308,0
253,5549,18732,13183,0
254,9647,6289,-3358,0
255,4209,19806,15597,0
256,8455,19812,11357,0
257,2567,4033,1466,0
258,5602,9860,4258,0
259,108,8813,8705,0
260,2210,18798,16588,0
261,2971,14860,11889,0
262,4983,15294,10311,0
263,4443,4621,178,0
264,2879,18138,15259,0
265,966,3347,2381,0
266,8362,15882,7520,0
267,5709,18110,12401,0
268,6954,5923,-1031,0
269,4503,16611,12108,0
270,9502,16367,6865,0
271,4921,10066,5145,0
272,3997,4279,282,0
273,9729,4807,-4922,0
274,6025,14965,8940,0
275,1228,17123,15895,0
276,4506,17991,13485,0
277,4745,1634,-3111,0
278,4565,13771,9206,0
279,9156,18458,9302,0
280,8060,19298,11238,0
281,3456,15340,11884,0
282,1055,1588,533,0
283,6903,4231,-2672,0
284,1703,7351,5648,0
285,3446,4838,1392,0
286,8764,2973,-5791,0
287,5905,15346,9441,0
288,3364,6044,2680,0
289,235,11247,11012,0
290,4903,12672,7769,0
291,7032,11271,4239,0
292,9161,7683,-1478,0
293,5610,12244,6634,0
294,8006,7783,-223,0
295,9017,6594,-2423,0
296,7693,4822,-2871,0
297,4652,4389,-263,0
298,7689,6914,-775,0
299,8218,19164,10946,0
300,7349,4688,-2661,0
301,9445,15683,6238,0
302,2215,14080,11865,0
303,1079,10916,9837,0
304,3454,6037,2583,0
305,1070,14453,13383,0
306,2337,9640,7303,0
307,3430,1081,-2349,0
308,311,7278,6967,0
309,616,17078,16462,0
310,3180,16536,13356,0
311,709,18790,18081,0
312,5098,8410,3312,0
313,9341,16926,7585,0
314,200,16500,16300,0
315,990,2480,1490,0
316,2985,10271,7286,0
317,6112,4598,-1514,0
318,1194,16032,14838,0
319,3337,8993,5656,0
320,3404,11895,8491,0
321,8329,16367,8038,0
322,1826,8644,6818,0
323,5864,12948,7084,0
324,6719,19142,12423,0
325,579,3599,3020,0
326,5452,6813,1361,0
327,1905,4853,2948,0
328,2743,19676,16933,0
329,3873,2501,-1372,0
330,7465,9422,1957,0
331,4024,8550,4526,0
332,1696,5250,3554,0
333,3019,7991,4972,0
334,7816,17498,9682,0
335,164,5406,5242,0
336,1419,19731,18312,0
337,794,2041,1247,0
338,8106,7927,-179,0
339,7570,17395,9825,0
340,7353,8871,1518,0
341,7216,7375,159,0
342,19325,4676,-15205,1
343,5811,14017,8206,0
344,2816,4065,1249,0
345,547,3036,2489,0
346,5996,4046,-1950,0
347,1851,17924,16073,0
348,8726,1076,-7650,0
349,6981,16880,9899,0
350,5635,17407,11772,0
351,2960,18059,15099,0
352,8002,5267,-2735,0
353,4790,6988,2198,0
354,2378,9680,7302,0
355,6665,2485,-4180,0
356,8183,15713,7530,0
357,4505,3419,-1086,0
358,9173,16312,7139,0
359,6012,4495,-1517,0
360,12021,18140,5168,1
361,9368,11716,2348,0
362,5929,13442,7513,0
363,863,19163,18300,0
364,4156,13961,9805,0
365,3779,11307,7528,0
366,584,7487,6903,0
367,1158,10664,9506,0
368,6303,17360,11057,0
369,6467,17642,11175,0
370,7519,5075,-2444,0
371,9917,18502,8585,0
372,4787,16285,11498,0
373,3864,8631,4767,0
374,2501,4017,1516,0
375,3134,19042,15908,0
376,5701,19181,13480,0
377,3061,1784,-1277,0
378,14,6691,6677,0
379,5232,16765,11533,0
380,5325,4196,-1129,0
381,4879,10552,5673,0
382,886,9532,8646,0
383,9193,17946,8753,0
384,7037,5746,-1291,0
385,4152,3999,-153,0
386,6976,18577,11601,0
387,7089,12302,5213,0
388,7997,17452,9455,0
389,6809,16595,9786,0
390,4475,19812,15337,0
391,645,7200,6555,0
392,1703,6396,4693,0
393,9884,14410,4526,0
394,4762,14203,9441,0
395,12876,4598,-9165,1
396,840,11564,10724,0
397,5187,13748,8561,0
398,9571,17957,8386,0
399,8942,8636,-306,0
400,8318,18862,10544,0
401,5959,11265,5306,0
402,2848,10705,7857,0
403,1160,15298,14138,0
404,7570,19580,12010,0
405,1941,10703,8762,0
406,9214,14336,5122,0
407,1674,9166,7492,0
408,1091,17116,16025,0
409,522,7050,6528,0
410,7815,12184,4369,0
411,5247,13712,8465,0
412,569,9484,8915,0
413,3682,3593,-89,0
414,7414,11315,3901,0
415,3353,16200,12847,0
416,4080,10107,6027,0
417,9672,4869,-4803,0
418,590,16447,15857,0
419,7014,8971,1957,0
420,8140,3989,-4151,0
421,3157,6340,3183,0
422,4259,10643,6384,0
423,1689,4823,3134,0
424,3516,14454,10938,0
425,7263,4932,-2331,0
426,2754,11220,8466,0
427,9445,9554,109,0
428,5198,3429,-1769,0
429,2151,8444,6293,0
430,6627,11510,4883,0
431,2489,12277,9788,0
432,6494,11537,5043,0
433,9837,8147,-1690,0
434,7431,8631,1200,0
435,9959,4598,-5361,0
436,4462,5329,867,0
437,5891,7718,1827,0
438,6675,10923,4248,0
439,2859,14782,11923,0
440,7400,17476,10076,0
441,6915,1051,-5864,0
442,2499,17702,15203,0
443,9833,11184,1351,0
444,9217,13468,4251,0
445,9550,16479,6929,0
446,4621,8210,3589,0
447,2849,13934,11085,0
448,8537,4956,-3581,0
449,5888,7057,1169,0
450,9097,12210,3113,0
451,6313,15590,9277,0
452,861,14864,14003,0
453,1697,2525,828,0
454,6843,14277,7434,0
455,2437,8043,5606,0
456,9770,18662,8892,0
457,4010,9705,5695,0
458,5062,7125,2063,0
459,2748,8874,6126,0
460,5742,13529,7787,0
461,5397,15955,10558,0
462,8012,3500,-4512,0
463,5546,4464,-1082,0
464,3923,19643,15720,0
465,1076,16954,15878,0
466,7733,1255,-6478,0
467,4390,2502,-1888,0
468,4117,5656,1539,0
469,5736,11302,5566,0
470,3383,6430,3047,0
471,8955,9598,643,0
472,2092,16976,14884,0
473,8977,2860,-6117,0
474,6758,7158,400,0
475,9827,6806,-3021,0
476,427,18106,17679,0
477,8316,10474,2158,0
478,8818,17997,9179,0
479,3984,6790,2806,0
480,3277,11170,7893,0
481,835,10004,9169,0
482,7678,10978,3300,0
483,5755,17714,11959,0
484,9718,19596,9878,0
485,422,8232,7810,0
486,7553,13674,6121,0
487,7597,17052,9455,0
488,738,16774,16036,0
489,7174,6913,-261,0
490,8877,15102,6225,0
491,5998,16389,10391,0
492,2514,11567,9053,0
493,2977,6611,3634,0
494,2796,10432,7636,0
495,1132,1319,187,0
496,4089,13686,9597,0
497,1581,5791,4210,0
498,5083,1329,-3754,0
499,5114,9851,4737,0
500,2153,12310,10157,0
501,9889,11164,1275,0
502,6816,19177,12361,0
503,7367,6703,-664,0
504,3450,11649,8199,0
505,3776,13672,9896,0
506,5654,5155,-499,0
507,2924,3611,687,0
508,4978,19977,14999,0
509,5927,17479,11552,0
510,8797,10180,1383,0
511,738,10304,9566,0
512,1375,15610,14235,0
513,4502,9437,4935,0
514,708,11350,10642,0
515,7196,13521,6325,0
516,405,7560,7155,0
517,7410,6247,-1163,0
518,8092,5077,-3015,0
519,4181,11858,7677,0
520,4370,12391,8021,0
521,2512,11946,9434,0
522,727,16186,15459,0
523,2792,2417,-375,0
524,4956,17494,12538,0
525,5496,9954,4458,0
526,8345,14591,6246,0
527,4990,8391,3401,0
528,7276,12364,5088,0
529,4501,11371,6870,0
530,7202,3504,-3698,0
531,5598,6239,641,0
532,7661,17676,10015,0
533,3646,19118,15472,0
534,1177,6120,4943,0
535,1072,7393,6321,0
536,2166,3196,1030,0
537,7870,4466,-3404,0
538,5171,2906,-2265,0
539,5315,19105,13790,0
540,6551,12883,6332,0
541,4739,16437,11698,0
542,9358,15497,6139,0
543,15068,2816,-12353,1
544,5344,11713,6369,0
545,8934,4849,-4085,0
546,4340,7849,3509,0
547,8020,2058,-5962,0
548,6811,12730,5919,0
549,4856,19706,14850,0
550,6741,18332,11591,0
551,7251,5359,-1892,0
552,963,13809,12846,0
553,2549,6660,4111,0
554,7066,8254,1188,0
555,1552,13822,12270,0
556,5303,3093,-2210,0
557,1201,12730,11529,0
558,6323,18947,12624,0
559,6948,9217,2269,0
560,2691,17558,14867,0
561,9419,18718,9299,0
562,1550,17705,16155,0
563,6182,13342,7160,0
564,5551,13239,7688,0
565,9590,14854,5264,0
566,1375,14897,13522,0
567,8701,12419,3718,0
568,9882,11064,1182,0
569,8712,16003,7291,0
570,7504,11259,3755,0
571,4322,6674,2352,0
572,1334,6002,4668,0
573,9357,1910,-7447,0
574,3151,1949,-1202,0
575,14684,19898,5009,1
576,3496,12523,9027,0
577,1820,12221,10401,0
578,6598,17484,10886,0
579,2933,5646,2713,0
580,5311,7945,2634,0
581,4196,3400,-796,0
582,8915,12563,3648,0
583,5987,19727,13740,0
584,4278,1352,-2926,0
585,4758,16489,11731,0
586,4859,2018,-2841,0
587,9445,18563,9118,0
588,3719,6193,2474,0
589,9283,16701,7418,0
590,6629,4536,-2093,0
591,8657,16449,7792,0
592,9096,12842,3746,0
593,9586,19886,10300,0
594,3082,4819,1737,0
595,6540,18363,11823,0
596,514,1976,1462,0
597,1224,19664,18440,0
598,1541,6897,5356,0
599,7586,16957,9371,0
600,833,16359,15526,0
601,938,14240,13302,0
602,5039,1107,-3932,0
603,15455,16524,193,1
604,2115,2626,511,0
605,3637,7229,3592,0
606,6326,7877,1551,0
607,11822,1874,-10806,1
608,4920,6543,1623,0
609,4185,4809,624,0
610,5358,11603,6245,0
611,9452,3107,-6345,0
612,6200,12745,6545,0
613,1266,10465,9199,0
614,3386,1559,-1827,0
615,5655,9308,3653,0
616,3496,16250,12754,0
617,3594,14255,10661,0
618,9598,4046,-5552,0
619,8063,14856,6793,0
620,3340,17427,14087,0
621,2713,1508,-1205,0
622,8672,7107,-1565,0
623,8130,14476,6346,0
624,7124,4439,-2685,0
625,1363,14136,12773,0
626,5073,15167,10094,0
627,8559,18300,9741,0
628,7585,18182,10597,0
629,677,5971,5294,0
630,4478,19144,14666,0
631,9347,16883,7536,0
632,6829,1818,-5011,0
633,3729,11360,7631,0
634,2755,12927,10172,0
635,7493,17023,9530,0
636,9509,4065,-5753,1
637,4974,4259,-715,0
638,4845,18290,13445,0
639,19251,13300,-6093,1
640,6052,1602,-4450,0
641,7112,5295,-1817,0
642,7322,10983,3661,0
643,5330,4527,-803,0
644,6142,2811,-3331,0
645,7901,13103,5202,0
646,2789,10032,7243,0
647,934,13877,12943,0
648,1591,8963,7372,0
649,7724,16224,8500,0
650,3334,9916,6582,0
651,5723,7766,2043,0
652,7036,18186,11150,0
653,265,19966,19701,0
654,4814,2665,-2149,0
655,1848,16932,15084,0
656,19,7975,7956,0
657,2881,3552,671,0
658,15377,14219,-1878,1
659,7419,15274,7855,0
660,7428,13612,6184,0
661,5134,3808,-1326,0
662,1025,12090,11065,0
663,2203,13260,11057,0
664,8425,16295,7870,0
665,7459,15837,8378,0
666,4168,15669,11501,0
667,3935,11523,7588,0
668,6980,13762,6782,0
669,6948,14769,7821,0
670,4794,14731,9937,0
671,4010,12877,8867,0
672,1643,3456,1813,0
673,7276,6423,-853,0
674,8712,15246,6534,0
675,394,13846,13452,0
676,8560,5317,-3902,1
677,8185,18940,10755,0
678,2010,19589,17579,0
679,9870,13635,3765,0
680,5999,14470,8471,0
681,1470,14176,12706,0
682,7200,10113,2913,0
683,7150,14546,7396,0
684,3646,7805,4159,0
685,4819,17788,12969,0
686,4188,19004,14816,0
687,7255,9080,1825,0
688,6610,4118,-2492,0
689,6007,7630,1623,0
690,2058,1565,-493,0
691,4790,16701,11911,0
692,726,15859,15133,0
693,7949,8670,721,0
694,5575,10476,4901,0
695,4554,9776,5222,0
696,4986,16021,11035,0
697,3429,5327,1898,0
698,7249,16275,9026,0
699,9776,8614,-1162,0
700,259,2245,1986,0
701,8875,9243,368,0
702,780,11355,10575,0
703,4373,1537,-2836,0
704,1087,16924,15837,0
705,8437,17236,8799,0
706,8590,17924,9334,0
707,7911,18198,10287,0
708,4868,2415,-2453,0
709,6554,12030,5476,0
710,4729,2652,-2077,0
711,2824,11857,9033,0
712,3384,19740,16356,0
713,1262,4810,3548,0
714,7006,17569,10563,0
715,4683,2551,-2132,0
716,4540,14584,10044,0
717,6891,1761,-5130,0
718,6959,13511,6552,0
719,9531,10471,940,0
720,6251,13467,7216,0
721,8027,7163,-864,0
722,6951,17065,10114,0
723,9560,12886,3326,0
724,7012,18920,11908,0
725,1341,7201,5860,0
726,4271,16580,12309,0
727,7658,8399,741,0
728,9560,17945,8385,0
729,5125,8623,3498,0
730,4647,11327,6680,0
731,4864,8187,3323,0
732,3187,3180,-7,0
733,7740,2960,-4780,0
734,2190,6153,3963,0
735,4902,8035,3133,0
736,7053,12471,5418,0
737,147,1582,1435,0
738,6337,16514,10177,0
739,3482,16531,13049,0
740,5459,17672,12213,0
741,2842,8979,6137,0
742,3589,4060,471,0
743,5981,14731,8750,0
744,4174,13294,9120,0
745,7951,18567,10616,0
746,5579,15274,9695,0
747,4310,18830,14520,0
748,6279,17348,11069,0
749,3828,2903,-925,0
750,1916,15551,13635,0
751,7685,16141,7888,1
752,770,3377,2607,0
753,7840,1847,-5993,0
754,7360,15380,8020,0
755,6248,18623,12375,0
756,6100,10524,4424,0
757,6041,16231,10190,0
758,7697,12698,5001,0
759,9101,11571,2470,0
760,9921,13314,3393,0
761,8482,12429,3947,0
762,1897,3365,1468,0
763,3276,11604,8328,0
764,676,12366,11690,0
765,4198,6055,1857,0
766,681,6622,5941,0
767,6787,17756,10969,0
768,7580,8783,1203,0
769,7966,2949,-5017,0
770,5134,17628,12494,0
771,5595,11032,5437,0
772,4787,12619,7832,0
773,3910,17508,13598,0
774,6687,13824,7137,0
775,6991,11945,4954,0
776,6386,2919,-3467,0
777,533,10827,10294,0
778,2403,10617,8214,0
779,9821,10732,172,1
780,9955,1530,-8425,0
781,7250,8849,1599,0
782,6947,7929,982,0
783,6200,5349,-851,0
784,5250,15456,10206,0
785,6503,12295,5792,0
786,2888,19185,16297,0
787,4153,6156,2003,0
788,3654,10228,6574,0
789,4442,12920,8478,0
790,1286,8432,7146,0
791,5821,13203,7382,0
792,312,7189,6877,0
793,648,2142,1494,0
794,65,8614,8549,0
795,8727,15253,6526,0
796,8160,19013,10853,0
797,2135,18146,16011,0
798,374,7905,7531,0
799,6819,5889,-930,0
800,4631,5839,1208,0
801,5136,4957,-179,0
802,5132,1557,-3575,0
803,1656,5621,3965,0
804,928,15932,15004,0
805,2807,1839,-968,0
806,6516,10243,3727,0
807,5880,10596,4716,0
808,1541,7998,6457,0
809,8182,11129,2947,0
810,3355,1510,-1845,0
811,7683,12596,4913,0
812,6959,13974,7015,0
813,6892,2137,-4755,0
814,1916,14700,12784,0
815,3096,5666,2570,0
816,8162,9906,1744,0
817,5760,11478,5718,0
818,8915,3654,-5261,0
819,1072,1990,918,0
820,1986,3160,1174,0
821,1306,16136,14830,0
822,6239,11336,5097,0
823,7651,15269,7618,0
824,135,17206,17071,0
825,4642,3063,-1579,0
826,6298,11795,5497,0
827,3606,19361,15755,0
828,6178,9567,3389,0
829,9805,9933,128,0
830,7571,16619,9048,0
831,6412,5919,-790,1
832,242,12741,12499,0
833,9371,9798,427,0
834,6381,17927,11546,0
835,4216,15566,11350,0
836,9695,1883,-7812,0
837,7953,10415,2462,0
838,6901,12085,5184,0
839,6748,16008,9260,0
840,2482,19452,16970,0
841,2749,9120,6371,0
842,5411,8820,3409,0
843,1771,12901,11130,0
844,886,19170,18284,0
845,3822,17259,13437,0
846,9514,10649,1135,0
847,1470,9269,7799,0
848,1743,12805,11062,0
849,1615,18692,17077,0
850,5632,11379,5747,0
851,6777,9744,2967,0
852,6996,14285,7289,0
853,3527,9473,5946,0
854,3745,11679,7934,0
855,9362,15605,6243,0
856,8444,11985,3541,0
857,7249,13391,5851,1
858,1073,5861,4788,0
859,4334,2596,-1738,0
860,9121,17863,8742,0
861,5352,11155,5803,0
862,15,8919,8904,0
863,7499,11334,3835,0
864,8669,15628,6959,0
865,8205,3072,-5133,0
866,5976,10487,4511,0
867,8847,6624,-2223,0
868,127,1938,1811,0
869,2561,9176,6615,0
870,5570,1761,-3809,0
871,9202,13941,3934,1
872,856,2669,1813,0
873,6326,8128,1802,0
874,6479,13091,6612,0
875,9343,19315,9972,0
876,8925,8308,-617,0
877,234,2126,1892,0
878,4218,7021,2803,0
879,6293,7437,1144,0
880,2058,8039,5981,0
881,6243,18587,12344,0
882,9775,5135,-4640,0
883,1838,16111,14273,0
884,1927,12964,11037,0
885,4244,9711,5467,0
886,6998,8904,1906,0
887,2036,3283,1247,0
888,3754,3477,-277,0
889,9103,4093,-5010,0
890,19,8207,8188,0
891,270,10394,10124,0
892,6048,15841,9793,0
893,9875,7227,-2648,0
894,2229,14280,12051,0
895,7051,4535,-2516,0
896,2070,11582,9512,0
897,5297,3913,-1384,0
898,1629,3340,1711,0
899,8522,6289,-2233,0
900,1352,1597,245,0
901,2842,16025,13183,0
902,2834,8145,5311,0
903,2004,3902,1898,0
904,3500,9955,6455,0
905,9320,8694,-626,0
906,7994,5830,-2164,0
907,1614,10834,9220,0
908,245,11489,11244,0
909,1918,16768,14850,0
910,8577,11364,2787,0
911,3540,3160,-380,0
912,5266,14268,9002,0
913,2645,15485,12840,0
914,8172,3922,-4250,0
915,9772,4804,-4968,0
916,2570,3368,798,0
917,5425,16157,10732,0
918,3401,9093,5692,0
919,5961,4932,-1029,0
920,5478,12552,7074,0
921,8017,6608,-1409,0
922,9074,13899,4825,0
923,9454,10292,838,0
924,6423,10862,4439,0
925,6951,6531,-420,0
926,9516,11412,1896,0
927,4830,7344,2514,0
928,2908,17759,14851,0
929,7556,8887,1331,0
930,87,18993,18906,0
931,7587,17158,9571,0
932,4237,18997,14760,0
933,610,4679,4069,0
934,1075,8540,7465,0
935,2146,10488,8342,0
936,9520,8074,-1446,0
937,6953,4996,-1957,0
938,7814,6695,-1119,0
939,6575,15235,8660,0
940,5994,3366,-2628,0
941,5152,15164,10012,0
942,4680,7764,3084,0
943,2200,16527,14327,0
944,9194,17292,8098,0
945,2722,2614,-108,0
946,2202,15396,13194,0
947,1258,19800,18542,0
948,4043,17880,13837,0
949,2007,17888,15881,0
950,3697,6733,3036,0
951,4028,4216,188,0
952,1980,5364,3384,0
953,8399,13269,4870,0
954,17614,18861,398,1
955,1212,14829,13617,0
956,8145,5960,-2185,0
957,5577,19781,14204,0
958,7677,9301,1624,0
959,5752,9841,4089,0
960,5798,8730,2932,0
961,5418,18883,13465,0
962,8679,17979,9300,0
963,9456,1978,-7478,0
964,932,1730,798,0
965,429,1056,627,0
966,2214,3243,1029,0
967,1130,2701,1571,0
968,960,18670,17710,0
969,2346,9303,6957,0
970,5383,16100,10717,0
971,2253,13998,11745,0
972,2655,10393,7738,0
973,4622,1947,-2675,0
974,1875,7553,5678,0
975,6038,1757,-4281,0
976,7336,15866,8530,0
977,6381,12580,6199,0
978,6369,6651,282,0
979,7873,8273,400,0
980,3238,11033,7795,0
981,3729,4535,806,0
982,2381,19677,17296,0
983,2901,18488,15587,0
984,3766,9853,6087,0
985,4235,1908,-2327,0
986,104,5617,5513,0
987,2684,11048,8364,0
988,6908,3311,-3597,0
989,803,17020,16217,0
990,2126,18173,16047,0
991,5789,14585,8796,0
992,6176,15017,8841,0
993,824,17555,16731,0
994,355,13552,13197,0
995,8564,14337,5773,0
996,2453,2885,432,0
997,7793,2049,-5744,0
998,994,11503,10509,0
999,7800,2161,-5639,0
1000,9841,1815,-8026,0
1001,837,4766,3929,0
1002,3541,4239,698,0
1003,7157,14942,7785,0
1004,4461,9272,4811,0
1005,3886,1869,-2017,0
1006,5969,6526,557,0
1007,136,8741,8605,0
1008,3187,5694,2507,0
1009,8805,2934,-5871,0
1010,6034,18087,12053,0
1011,5119,17318,12199,0
1012,4156,19907,15751,0
1013,7206,7159,-47,0
1014,3378,16719,13341,0
1015,3807,13993,10186,0
1016,1802,14813,13011,0
1017,5742,2164,-3578,0
1018,3486,1619,-1867,0
1019,3427,8982,5555,0
1020,1655,4066,2411,0
1021,9407,9638,231,0
1022,3040,3337,297,0
1023,2882,6594,3712,0
1024,3082,3460,378,0
1025,1864,7820,5956,0
1026,4031,4442,411,0
1027,4672,17191,12519,0
1028,6524,17326,10802,0
1029,5041,11529,6488,0
1030,2718,18675,15957,0
1031,7122,11390,4268,0
1032,9534,15030,5496,0
1033,8403,6374,-2029,0
1034,3517,14142,10625,0
1035,6466,13204,6738,0
1036,4222,8394,4172,0
1037,7980,18088,10108,0
1038,8776,1825,-6951,0
1039,546,10196,9650,0
1040,1635,12652,11017,0
1041,7983,17760,9777,0
1042,8587,1972,-6615,0
1043,8080,12268,4188,0
1044,8676,1443,-7233,0
1045,8619,1754,-6865,0
1046,6500,17023,10523,0
1047,3610,11363,7753,0
1048,6793,11897,5104,0
1049,9156,6396,-2760,0
1050,4981,4465,-516,0
1051,1215,3711,2496,0
1052,13835,19791,5500,1
1053,5309,6747,1438,0
1054,3582,19107,15525,0
1055,5985,2919,-3066,0
1056,6330,18302,11972,0
1057,4390,14473,10083,0
1058,4767,17965,13198,0
1059,19930,15235,-5295,1
1060,5598,16710,11112,0
1061,976,15434,14458,0
1062,4954,14478,9524,0
1063,10403,4881,-6089,1
1064,698,2999,2301,0
1065,4253,15849,11596,0
